country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,40000000,56000000,64000000,40000000,56000000,91000000,198000000,230000000,145000000,92000000,9000000,149000000,124000000,,,90000000,230000000,75000000,283000000,360000000,352000000,382000000,294000000,236000000,368000000,153000000,287000000,563000000,1050000000,2150000000,1870000000,1410000000,,,,,,,,,,,34000000,,,35000000,3000000,41000000,150000000,344000000,377000000,660000000,521000000,235000000,288000000,116000000,176000000,252000000,361000000,391000000
Albania,62000000,74000000,46000000,11000000,7000000,140000000,74000000,161000000,265000000,297000000,250000000,330000000,134000000,104000000,134000000,53000000,5000000,7000000,5000000,,,,,,,,,,,,,,,,,26000000,,,,,,,,2000000,,7000000,,5000000,,,,,15000000,7000000,7000000,7000000,,4000000,1000000,5000000
Algeria,,7000000,61000000,85000000,177000000,331000000,437000000,524000000,57000000,79000000,14000000,14000000,180000000,110000000,13000000,56000000,132000000,1080000000,1510000000,1850000000,1360000000,1280000000,1230000000,575000000,533000000,242000000,135000000,370000000,320000000,455000000,735000000,1040000000,20000000,20000000,182000000,295000000,83000000,37000000,98000000,370000000,408000000,542000000,249000000,195000000,242000000,159000000,340000000,509000000,1530000000,1080000000,834000000,1130000000,663000000,362000000,616000000,896000000,2900000000,962000000,1250000000,140000000
Angola,,,,,,,,,,,,,,,1000000,242000000,184000000,105000000,146000000,111000000,155000000,241000000,379000000,576000000,482000000,531000000,705000000,1190000000,965000000,152000000,140000000,,,122000000,111000000,1000000,44000000,7000000,149000000,358000000,147000000,156000000,148000000,48000000,8000000,39000000,7000000,31000000,29000000,20000000,,,,31000000,2000000,47000000,142000000,108000000,270000000,166000000
Argentina,111000000,205000000,48000000,19000000,19000000,7000000,93000000,146000000,430000000,223000000,248000000,369000000,396000000,236000000,450000000,260000000,494000000,198000000,447000000,451000000,445000000,867000000,421000000,1320000000,685000000,450000000,229000000,224000000,71000000,14000000,169000000,,27000000,14000000,209000000,43000000,28000000,105000000,172000000,276000000,213000000,6000000,15000000,11000000,169000000,3000000,9000000,24000000,23000000,11000000,11000000,15000000,3000000,12000000,7000000,21000000,17000000,43000000,25000000,53000000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,181000000,47000000,70000000,,,2000000,,,,,118000000,,,1000000,,46000000,52000000,5000000,,16000000,,,110000000,18000000,,248000000
Australia,113000000,40000000,571000000,383000000,528000000,900000000,694000000,764000000,450000000,828000000,240000000,319000000,60000000,701000000,884000000,96000000,81000000,268000000,1020000000,191000000,404000000,449000000,131000000,633000000,626000000,515000000,819000000,592000000,743000000,693000000,352000000,213000000,365000000,449000000,262000000,64000000,597000000,35000000,542000000,673000000,338000000,1240000000,663000000,801000000,472000000,459000000,727000000,677000000,445000000,777000000,1510000000,1560000000,868000000,236000000,919000000,1460000000,1030000000,1670000000,1580000000,1400000000
Austria,16000000,27000000,56000000,201000000,73000000,78000000,61000000,47000000,1000000,12000000,102000000,135000000,103000000,22000000,22000000,6000000,12000000,,8000000,72000000,195000000,73000000,97000000,145000000,13000000,28000000,19000000,7000000,117000000,84000000,5000000,6000000,5000000,9000000,40000000,24000000,10000000,182000000,228000000,48000000,25000000,15000000,69000000,42000000,56000000,24000000,4000000,269000000,190000000,286000000,7000000,8000000,8000000,6000000,2000000,1000000,13000000,8000000,4000000,14000000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000000,25000000,,,,,,3000000,,89000000,,4000000,53000000,159000000,213000000,33000000,145000000,155000000,557000000,339000000,404000000,612000000,335000000,274000000,275000000,322000000,25000000
Bahamas,,,,,,,,,,,,,,,,,,,11000000,,,,,,,,33000000,,,,2000000,3000000,,,,,,,,,33000000,,,,,3000000,,,,1000000,,,,,30000000,16000000,20000000,12000000,,
Bahrain,,,,,,1000000,1000000,,,,,0,7000000,0,1000000,,,2000000,9000000,8000000,19000000,40000000,59000000,10000000,131000000,55000000,134000000,250000000,137000000,71000000,362000000,68000000,42000000,1000000,8000000,71000000,51000000,198000000,9000000,,299000000,28000000,54000000,1000000,10000000,66000000,63000000,26000000,20000000,,103000000,1000000,26000000,72000000,1000000,17000000,26000000,28000000,65000000,16000000
Bangladesh,,,,,,,,,,,,10000000,2000000,78000000,44000000,39000000,70000000,62000000,45000000,1000000,55000000,62000000,127000000,109000000,59000000,63000000,3000000,,241000000,301000000,187000000,79000000,113000000,44000000,61000000,119000000,7000000,26000000,1000000,186000000,203000000,280000000,33000000,8000000,32000000,10000000,221000000,88000000,13000000,,36000000,117000000,184000000,645000000,206000000,632000000,443000000,322000000,149000000,743000000
